5;5113;5113001;ANTIOQUIA;BURITICÁ;ALTO DEL OBISPO
5;5107;5107023;ANTIOQUIA;BRICEÑO;LA VELEZ
5;5107;5107032;ANTIOQUIA;BRICEÑO;QUEBRADITAS
5;5107;5107016;ANTIOQUIA;BRICEÑO;LA AMERICA
5;5107;5107026;ANTIOQUIA;BRICEÑO;LOS NARANJOS
5;5107;5107006;ANTIOQUIA;BRICEÑO;CUCURUCHO
5;5113;5113027;ANTIOQUIA;BURITICÁ;MOGOTES
5;5113;5113015;ANTIOQUIA;BURITICÁ;LA ANGELINA
5;5113;5113035;ANTIOQUIA;BURITICÁ;TABACAL-VEREDA
5;5113;5113025;ANTIOQUIA;BURITICÁ;LOS ARADOS
5;5125;5125013;ANTIOQUIA;CAICEDO;LA NOQUE
5;5197;5197052;ANTIOQUIA;COCORNÁ;LA VETA
5;5197;5197037;ANTIOQUIA;COCORNÁ;LA GRANJA
5;5206;5206019;ANTIOQUIA;CONCEPCIÓN;SAN PEDRO PEÑOL PARTE ALTA
5;5209;5209021;ANTIOQUIA;CONCORDIA;SAN LUIS
5;5209;5209023;ANTIOQUIA;CONCORDIA;VENTANAS
5;5209;5209024;ANTIOQUIA;CONCORDIA;YARUMAL
5;5209;5209020;ANTIOQUIA;CONCORDIA;RUMBADERO
5;5209;5209002;ANTIOQUIA;CONCORDIA;CAUNZAL
5;5209;5209016;ANTIOQUIA;CONCORDIA;MORELIA
5;5197;5197005;ANTIOQUIA;COCORNÁ;BALCONES
5;5197;5197046;ANTIOQUIA;COCORNÁ;LA QUIEBRA
5;5197;5197020;ANTIOQUIA;COCORNÁ;EL PALMAR
5;5209;5209008;ANTIOQUIA;CONCORDIA;LA COMIA
5;5209;5209004;ANTIOQUIA;CONCORDIA;EL CHOCHO
5;5480;5480021;ANTIOQUIA;MUTATÁ;NUEVO MUNDO
5;5480;5480030;ANTIOQUIA;MUTATÁ;VILLA  ARTEAGA
5;5480;5480015;ANTIOQUIA;MUTATÁ;LEÓN PORROSO
5;5480;5480016;ANTIOQUIA;MUTATÁ;LEONCITO
5;5480;5480017;ANTIOQUIA;MUTATÁ;LOS CEDROS
5;5480;5480022;ANTIOQUIA;MUTATÁ;PALMICHAL
5;5480;5480020;ANTIOQUIA;MUTATÁ;NUEVA ESPERANZA
5;5480;5480003;ANTIOQUIA;MUTATÁ;BELÉN DE BAJIRÁ
5;5480;5480029;ANTIOQUIA;MUTATÁ;SECRETA
5;5480;5480019;ANTIOQUIA;MUTATÁ;MUNGUDÓ
5;5480;5480024;ANTIOQUIA;MUTATÁ;PAVARANDO
5;5480;5480004;ANTIOQUIA;MUTATÁ;CAÑADUZALES
5;5480;5480001;ANTIOQUIA;MUTATÁ;AGUAS CLARAS
5;5480;5480010;ANTIOQUIA;MUTATÁ;CHONTADURITO
5;5480;5480009;ANTIOQUIA;MUTATÁ;CHONTADURAL
5;5480;5480014;ANTIOQUIA;MUTATÁ;LAS MALVINAS
5;5480;5480028;ANTIOQUIA;MUTATÁ;SARAMBAY
5;5480;5480012;ANTIOQUIA;MUTATÁ;JURADÓ ARRIBA
5;5480;5480013;ANTIOQUIA;MUTATÁ;LA FORTUNA
5;5480;5480002;ANTIOQUIA;MUTATÁ;BEJUQUILLO
